id	name	xqid	latitude	longitude	country_id
279	Dorunda	DRD	-16.55830002	141.8079987	13
280	Drumduff	DFP	-16.0529995	143.0119934	13
281	Dubbo	DBO	-32.21670151	148.5749969	13
282	Dulkaninna	DLK	-29.01329994	138.4810028	13
283	Dunbar	DNB	-16.04999924	142.3999939	13
284	Durham Downs	DHD	-27.07500076	141.8999939	13
285	Durrie	DRR	-25.68499947	140.2279968	13
286	Dysart	DYA	-22.62220001	148.3639984	13
287	Echuca	ECH	-36.15719986	144.7619934	13
288	Edward River	EDR	-14.89669991	141.6089935	13
289	Einasleigh	EIH	-18.50329971	144.0939941	13
290	Elcho Island	ELC	-12.01939964	135.5709991	13
291	Emerald	EMD	-23.56749916	148.1790009	13
292	Eneabba	ENB	-29.83250046	115.2460022	13
293	Eromanga	ERG	61.27500153	108.0299988	13
294	Esperance	EPR	-33.68439865	121.822998	13
295	Etadunna	ETD	-28.74080086	138.5890045	13
296	Eucla	EUC	-31.70000076	128.8829956	13
297	Eva Downs	EVD	-18.00099945	134.8630066	13
298	Evans Head	EVH	-29.09329987	153.4199982	13
299	Exmouth	LEA	-22.23559952	114.0889969	13
300	Finke	FIK	-25.59469986	134.5829926	13
301	Finley	FLY	-35.66669846	145.5500031	13
302	Fitzroy Crossing	FIZ	-18.18190002	125.5589981	13
303	Flinders Island	FLS	-40.09170151	147.9929962	13
304	Forrest	FOS	-30.83810043	128.1150055	13
305	Gayndah	GAH	-25.61440086	151.6190033	13
306	George Town	GEE	-41.08000183	146.8399963	13
307	Georgetown	GTT	-18.30500031	143.5299988	13
308	Geraldton	GET	-28.79610062	114.7070007	13
309	Gibb River	GBV	-16.42329979	126.4449997	13
310	Gladstone	GLT	-23.86969948	151.2230072	13
311	Glen Innes	GLI	-29.67499924	151.6889954	13
312	Glengyle	GLG	-24.80830002	139.6000061	13
313	Glenormiston	GLM	-22.88829994	138.8249969	13
314	Goondiwindi	GOO	-28.52140045	150.3200073	13
315	Gordon Downs	GDD	-18.67810059	128.5919952	13
316	Goulburn	GUL	-34.81029892	149.7259979	13
317	Goulburn Island	GBL	-11.64999962	133.3820038	13
318	Gove	GOV	-12.26939964	136.8179932	13
319	Grafton	GFN	-29.75939941	153.0299988	13
320	Granite Downs	GTS	-26.94829941	133.6069946	13
321	Greenvale	GVP	-18.98329926	145.1170044	13
322	Gregory Downs	GGD	-18.625	139.2330017	13
323	Griffith	GFF	-34.25080109	146.0670013	13
324	Groote Eylandt	GTE	-13.97500038	136.4600067	13
325	Grovedale	GEX	-38.22499847	144.3329926	13
326	Gunnedah	GUH	-30.96109962	150.2510071	13
327	Gympie	GYP	-26.28280067	152.7019958	13
328	Halls Creek	HCQ	-18.23390007	127.6699982	13
329	Hamilton	HLT	-37.64889908	142.0650024	13
330	Hamilton Island	HTI	-20.35810089	148.9519959	13
331	Hawker	HWK	-31.85590744	138.4680786	13
332	Hay	HXX	-34.53139877	144.8300018	13
333	Headingly	HIP	-21.33329964	138.2830048	13
